Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,3-0,1,42.7%,1,42.7%,8,19.2%,8,19.2%,3,-27.7%,3,-27.7%,26,-4.2%,26,-4.2%
ARI,3-0,2,41.6%,2,41.6%,7,19.4%,7,19.4%,6,-18.9%,6,-18.9%,6,3.3%,6,3.3%
CLE,2-1,3,40.1%,3,40.1%,4,28.7%,4,28.7%,10,-7.7%,10,-7.7%,5,3.7%,5,3.7%
LAR,3-0,4,39.7%,4,39.7%,2,37.4%,2,37.4%,11,-7.2%,11,-7.2%,29,-4.9%,29,-4.9%
CAR,3-0,5,39.6%,5,39.6%,15,3.0%,15,3.0%,1,-43.0%,1,-43.0%,31,-6.4%,31,-6.4%
BUF,2-1,6,35.3%,6,35.3%,16,1.1%,16,1.1%,2,-36.6%,2,-36.6%,21,-2.4%,21,-2.4%
SEA,1-2,7,24.3%,7,24.3%,1,37.9%,1,37.9%,22,10.5%,22,10.5%,23,-3.2%,23,-3.2%
TB,2-1,8,21.4%,8,21.4%,5,24.0%,5,24.0%,18,2.6%,18,2.6%,10,-0.1%,10,-0.1%
NO,2-1,9,20.2%,9,20.2%,20,-5.2%,20,-5.2%,4,-25.3%,4,-25.3%,9,0.0%,9,0.0%
CIN,2-1,10,19.9%,10,19.9%,24,-9.5%,24,-9.5%,5,-24.2%,5,-24.2%,2,5.1%,2,5.1%
DAL,2-1,11,18.8%,11,18.8%,6,23.1%,6,23.1%,17,1.2%,17,1.2%,22,-3.1%,22,-3.1%
SF,2-1,12,14.1%,12,14.1%,9,14.0%,9,14.0%,19,3.8%,19,3.8%,4,3.9%,4,3.9%
BAL,2-1,13,9.7%,13,9.7%,11,9.5%,11,9.5%,20,7.2%,20,7.2%,1,7.4%,1,7.4%
LV,3-0,14,7.3%,14,7.3%,17,-2.6%,17,-2.6%,8,-10.7%,8,-10.7%,13,-0.9%,13,-0.9%
KC,1-2,15,4.3%,15,4.3%,3,31.7%,3,31.7%,32,29.5%,32,29.5%,8,2.1%,8,2.1%
NYG,0-3,16,-2.7%,16,-2.7%,14,3.9%,14,3.9%,21,9.4%,21,9.4%,7,2.9%,7,2.9%
PHI,1-2,17,-2.8%,17,-2.8%,18,-2.7%,18,-2.7%,14,-1.8%,14,-1.8%,17,-2.0%,17,-2.0%
MIN,1-2,18,-3.9%,18,-3.9%,10,12.9%,10,12.9%,26,16.1%,26,16.1%,12,-0.6%,12,-0.6%
GB,2-1,19,-5.8%,19,-5.8%,12,9.3%,12,9.3%,25,13.7%,25,13.7%,16,-1.4%,16,-1.4%
HOU,1-2,20,-6.2%,20,-6.2%,21,-7.0%,21,-7.0%,12,-5.1%,12,-5.1%,28,-4.4%,28,-4.4%
NE,1-2,21,-7.4%,21,-7.4%,26,-16.3%,26,-16.3%,7,-12.8%,7,-12.8%,24,-4.0%,24,-4.0%
LAC,2-1,22,-15.7%,22,-15.7%,13,4.2%,13,4.2%,24,11.7%,24,11.7%,32,-8.2%,32,-8.2%
WAS,1-2,23,-16.9%,23,-16.9%,19,-4.7%,19,-4.7%,27,16.5%,27,16.5%,3,4.2%,3,4.2%
PIT,1-2,24,-21.8%,24,-21.8%,27,-16.5%,27,-16.5%,15,0.0%,15,0.0%,30,-5.3%,30,-5.3%
IND,0-3,25,-24.4%,25,-24.4%,25,-13.5%,25,-13.5%,23,10.6%,23,10.6%,11,-0.2%,11,-0.2%
MIA,1-2,26,-25.7%,26,-25.7%,28,-32.4%,28,-32.4%,9,-9.1%,9,-9.1%,20,-2.3%,20,-2.3%
TEN,2-1,27,-29.3%,27,-29.3%,23,-7.6%,23,-7.6%,30,17.6%,30,17.6%,25,-4.1%,25,-4.1%
DET,0-3,28,-33.9%,28,-33.9%,22,-7.2%,22,-7.2%,31,24.7%,31,24.7%,18,-2.1%,18,-2.1%
CHI,1-2,29,-38.8%,29,-38.8%,31,-40.9%,31,-40.9%,13,-4.2%,13,-4.2%,19,-2.1%,19,-2.1%
NYJ,0-3,30,-43.4%,30,-43.4%,32,-41.7%,32,-41.7%,16,0.7%,16,0.7%,14,-1.0%,14,-1.0%
JAX,0-3,31,-53.8%,31,-53.8%,29,-35.3%,29,-35.3%,28,17.2%,28,17.2%,15,-1.4%,15,-1.4%
ATL,1-2,32,-58.8%,32,-58.8%,30,-37.0%,30,-37.0%,29,17.5%,29,17.5%,27,-4.3%,27,-4.3%

